lambda_tilde_mode.4.1,lambda_tilde_mode.4.10,lambda_tilde_mode.4.11,lambda_tilde_mode.4.12,lambda_tilde_mode.4.13,lambda_tilde_mode.4.14,lambda_tilde_mode.4.15,lambda_tilde_mode.4.16,lambda_tilde_mode.4.17,lambda_tilde_mode.4.18,lambda_tilde_mode.4.19
0.0000383848,0.0000413287,9.00103e-6,0.000185373,0.000386111,0.00022008,0.0000339525,0.000476975,0.0000226713,0.000323135,0.0000204027
0.0000367453,0.0000397952,8.79145e-6,0.000186635,0.000397955,0.000226263,0.000032606,0.000516679,0.000023087,0.000332856,0.000020841
0.0000371936,0.0000385148,8.21857e-6,0.000184657,0.00038584,0.000229238,0.0000323737,0.000484139,0.0000232158,0.00032182,0.00002063
0.0000408908,0.0000371672,8.05509e-6,0.000188614,0.000402602,0.000234507,0.0000328274,0.000492798,0.0000223851,0.000322348,0.0000215446
0.0000449076,0.0000390477,8.16887e-6,0.000191655,0.000409073,0.000234653,0.0000335477,0.000495541,0.0000220637,0.000322085,0.000021725
0.0000429192,0.0000373219,8.03075e-6,0.000195965,0.000408149,0.000242076,0.0000325197,0.000512361,0.000021736,0.000324361,0.0000228102
0.0000441789,0.0000373162,7.80159e-6,0.000197649,0.000393135,0.000229075,0.0000325832,0.000483809,0.0000211112,0.000313298,0.0000237985
0.0000448516,0.0000366591,7.57232e-6,0.000192146,0.000396255,0.000233869,0.0000320344,0.000479482,0.0000209885,0.000308149,0.0000225453
0.0000427197,0.0000387482,7.95726e-6,0.000192841,0.000394617,0.000220562,0.0000328328,0.00047608,0.0000208436,0.000310761,0.0000220505
0.0000402739,0.0000364032,7.85924e-6,0.00019399,0.00040295,0.000222956,0.0000327773,0.000470522,0.0000215165,0.00032339,0.0000206177
0.0000410321,0.0000376194,7.55411e-6,0.000189918,0.000413643,0.000232222,0.0000329411,0.000469593,0.000020974,0.000322262,0.000020952
0.0000420785,0.0000369776,7.44281e-6,0.000203878,0.000409794,0.000224295,0.0000332115,0.000473545,0.0000211919,0.000321359,0.0000210101
0.0000426026,0.0000381345,7.66299e-6,0.000204344,0.00041092,0.000237196,0.0000338647,0.000484634,0.0000212653,0.000316102,0.0000207329
0.0000424056,0.0000379997,7.73363e-6,0.000206355,0.000403683,0.000235925,0.0000329509,0.000457439,0.0000220719,0.000305106,0.0000205949
0.0000426686,0.0000363836,7.79985e-6,0.000208339,0.000394821,0.000240213,0.0000316223,0.000451577,0.0000216146,0.000308314,0.0000209768
0.0000453204,0.0000367864,7.57095e-6,0.000205124,0.000387999,0.000243293,0.0000320612,0.000448669,0.0000215599,0.000311567,0.0000211002
0.0000439793,0.0000373081,7.41027e-6,0.000202113,0.000378126,0.000253123,0.0000308505,0.000461991,0.0000214208,0.000294078,0.0000208449
0.0000441269,0.0000365893,7.6945e-6,0.000200725,0.000375819,0.000260469,0.0000322436,0.000431996,0.0000216278,0.000282986,0.000021076
0.0000450597,0.000037364,7.4325e-6,0.000196549,0.000377074,0.000252327,0.0000312092,0.000430229,0.0000213962,0.000275972,0.0000205993
0.0000490677,0.0000364296,7.68195e-6,0.000205571,0.000368606,0.00025788,0.000030901,0.000427465,0.0000215257,0.000267033,0.0000202305
0.0000486206,0.0000371297,8.14339e-6,0.000197338,0.000359247,0.000252502,0.0000307105,0.000435476,0.000021107,0.000270437,0.0000196774
0.0000476067,0.000037131,7.79055e-6,0.000195039,0.00037237,0.00024769,0.0000302503,0.000429084,0.000021171,0.000272067,0.0000199981
0.0000442635,0.0000376903,7.87626e-6,0.000197607,0.000361052,0.000241306,0.0000304612,0.00040619,0.0000208248,0.000268276,0.0000201001
0.0000430379,0.0000375708,7.88998e-6,0.000199878,0.000364491,0.00023862,0.0000302216,0.00041531,0.0000196372,0.000262111,0.0000197106
0.0000419916,0.000038769,7.72579e-6,0.00019845,0.000379944,0.000236567,0.0000303688,0.000395951,0.0000190553,0.000261429,0.0000195337
0.0000396261,0.0000380862,7.56845e-6,0.000190218,0.000379476,0.000233307,0.0000300759,0.000397294,0.0000187453,0.000254332,0.0000190036
0.0000394887,0.000035454,7.75818e-6,0.000195838,0.000365601,0.000235111,0.0000300975,0.00039163,0.0000181566,0.000255745,0.0000186184
0.0000417511,0.00003588,7.43223e-6,0.000197609,0.000365842,0.000232992,0.0000311072,0.000371747,0.0000174403,0.000252612,0.0000198854
0.0000411911,0.0000351102,7.60339e-6,0.000190755,0.000365947,0.000235334,0.0000296294,0.000388126,0.0000174919,0.000240181,0.0000206084
0.0000409546,0.0000341041,7.86345e-6,0.000193099,0.000348682,0.000236162,0.0000297158,0.000395533,0.0000181186,0.000242589,0.0000203136
0.0000402675,0.0000343827,7.99967e-6,0.000200667,0.000347858,0.000241094,0.000029993,0.000408575,0.0000184141,0.000238331,0.0000199176
0.000039999,0.00003485,8.3103e-6,0.000199628,0.000345168,0.000239933,0.0000290299,0.000392116,0.000018078,0.000244127,0.0000200887
0.0000378581,0.0000360614,8.12567e-6,0.00019962,0.000353589,0.000243336,0.0000289951,0.000393097,0.0000180776,0.000248393,0.0000193586
0.0000354912,0.0000367955,8.16959e-6,0.000203153,0.000371875,0.000251083,0.0000299438,0.000395064,0.0000187767,0.000254819,0.0000186043
0.0000372675,0.000034696,8.14153e-6,0.000201368,0.000368875,0.00024306,0.0000292836,0.000397863,0.0000190673,0.000252892,0.0000183975
0.0000365619,0.000037568,8.61505e-6,0.000195065,0.000372878,0.000237289,0.0000292216,0.000412461,0.0000188104,0.000254039,0.0000184796
0.0000372253,0.0000351723,8.48741e-6,0.000194615,0.000380748,0.000237914,0.0000303166,0.000406304,0.0000189761,0.000248338,0.0000178984
0.0000344896,0.0000345144,8.69405e-6,0.000192701,0.000364296,0.000228115,0.0000294343,0.000393936,0.0000193052,0.000241629,0.0000186483
0.0000319483,0.000035732,8.93747e-6,0.000190224,0.000358572,0.00021772,0.0000292308,0.000406445,0.0000197072,0.000246288,0.0000177035
0.0000328649,0.0000357347,8.40785e-6,0.000183404,0.000355518,0.000215181,0.0000289513,0.000406882,0.0000202881,0.000253631,0.0000178797
0.0000345667,0.0000356947,8.16046e-6,0.000185659,0.000345099,0.000214251,0.0000284507,0.00039778,0.0000200855,0.000257179,0.0000178037
0.0000352458,0.0000362302,8.19029e-6,0.000184724,0.000341938,0.000207733,0.0000266124,0.00039191,0.0000203275,0.000254676,0.0000179582
0.0000309825,0.0000388493,7.65067e-6,0.000190889,0.000340614,0.00022595,0.0000258315,0.000376666,0.0000200585,0.000248042,0.000018924
0.0000313622,0.0000354916,7.68704e-6,0.000184909,0.000338144,0.000232425,0.0000256524,0.000380063,0.0000203428,0.000238281,0.0000188626
0.0000289006,0.0000369605,7.49108e-6,0.000190511,0.000351519,0.000230939,0.0000254874,0.000360268,0.0000193649,0.000241167,0.0000191978
0.0000311396,0.0000361775,7.48139e-6,0.000196197,0.00035219,0.000229138,0.0000251743,0.000364134,0.000019146,0.000254867,0.0000205433
0.0000298329,0.0000357895,7.14151e-6,0.000193531,0.000342258,0.000235358,0.0000258355,0.000362051,0.0000189544,0.000251914,0.0000207135
0.0000301371,0.0000359275,7.3763e-6,0.000192036,0.000341108,0.000241517,0.0000262341,0.000390428,0.0000187101,0.000243594,0.0000195481
0.0000307048,0.0000343659,7.66861e-6,0.000191185,0.00033016,0.000243431,0.0000260463,0.000376593,0.0000193778,0.000239912,0.0000182501
0.0000289912,0.0000328123,7.37132e-6,0.000193307,0.000340984,0.000242387,0.0000247347,0.000393102,0.0000188185,0.000241151,0.0000170867
0.0000276736,0.0000358385,6.90714e-6,0.00019218,0.00033453,0.000257275,0.0000251176,0.000383507,0.0000184267,0.000232357,0.000017581
0.000027753,0.0000383861,6.94815e-6,0.000185886,0.000322927,0.000250484,0.0000251974,0.00040555,0.0000184029,0.000229155,0.0000180506
0.000028047,0.0000402189,7.1186e-6,0.000183841,0.000320649,0.000254298,0.0000255428,0.000405167,0.0000185633,0.000232661,0.0000189578
0.0000266478,0.0000417704,7.50821e-6,0.000180638,0.000323021,0.000260526,0.0000253055,0.000416055,0.0000188518,0.000229315,0.0000190288
0.0000274415,0.0000404619,7.26524e-6,0.000183471,0.000315065,0.000258929,0.0000251657,0.00041262,0.0000181541,0.000232944,0.0000197043
0.0000304839,0.0000398017,7.33598e-6,0.000183807,0.000311427,0.000274123,0.0000249683,0.000438297,0.0000184021,0.000241095,0.0000192636
0.0000298624,0.0000391294,7.50692e-6,0.000186655,0.000323006,0.000275223,0.0000255543,0.000417904,0.0000180374,0.000250494,0.0000196042
0.0000295329,0.0000382979,7.70454e-6,0.000182796,0.000316954,0.000277328,0.0000255398,0.000409801,0.000017975,0.000250675,0.0000194855
0.0000312518,0.0000392304,7.58875e-6,0.000191697,0.00031484,0.000271505,0.0000232727,0.000416162,0.0000179793,0.000246545,0.0000205359
0.0000325754,0.0000379127,7.9025e-6,0.000194595,0.00030295,0.000266161,0.0000231346,0.000426396,0.0000171755,0.000243997,0.0000207267
0.0000335572,0.0000377117,7.96591e-6,0.000186735,0.000302419,0.000268268,0.0000238215,0.000423178,0.0000166454,0.00024041,0.0000209629
0.0000332896,0.0000363796,7.62863e-6,0.000181278,0.000302612,0.000287151,0.000024132,0.00044385,0.0000166114,0.000243453,0.0000206213
0.0000347699,0.0000379594,7.69085e-6,0.000188203,0.000304793,0.000291036,0.0000243489,0.000447913,0.0000165249,0.000246147,0.0000210093
0.0000348915,0.0000389599,8.21054e-6,0.000185305,0.000302109,0.000300036,0.0000246288,0.000446313,0.0000162879,0.000243931,0.0000203048
0.000036454,0.0000407671,7.88102e-6,0.000192678,0.000300701,0.000299569,0.0000243936,0.000442811,0.0000166448,0.000249046,0.0000192772
0.0000367218,0.0000424616,7.84764e-6,0.0001944,0.00030736,0.000310648,0.0000253499,0.000439796,0.0000174433,0.000245702,0.000020537
0.0000359917,0.000041819,7.79718e-6,0.00019697,0.000303972,0.000315941,0.000025627,0.00043476,0.0000184688,0.000256184,0.0000201401
0.0000343791,0.0000428573,7.98223e-6,0.000197491,0.000296563,0.000314754,0.0000239977,0.000425298,0.0000194073,0.000249008,0.000021167
0.0000344509,0.000044331,7.84949e-6,0.000194098,0.000285643,0.000322053,0.0000241346,0.000407571,0.0000185468,0.000261414,0.0000220083
0.000034255,0.0000438244,7.7605e-6,0.000204475,0.000280191,0.000316563,0.0000235338,0.000424373,0.0000182007,0.000264343,0.0000227751
0.0000355339,0.000041773,7.31949e-6,0.000204591,0.000281438,0.0003184,0.000023676,0.000409714,0.0000176551,0.000259118,0.0000228518
0.0000356366,0.000039121,7.7931e-6,0.000203466,0.000277622,0.000333579,0.0000236196,0.000421016,0.0000174722,0.00025345,0.0000237141
0.0000367231,0.0000407228,7.88657e-6,0.000199272,0.00028054,0.000324786,0.0000235601,0.000411749,0.0000181982,0.000248684,0.0000246123
0.0000359016,0.0000411051,7.82451e-6,0.000197277,0.000286978,0.000327953,0.0000235224,0.000400708,0.0000183868,0.000248247,0.0000244997
0.0000376454,0.0000417559,7.50168e-6,0.000200558,0.000278458,0.000317986,0.0000234785,0.00038197,0.0000187632,0.000249446,0.0000253052
0.0000374377,0.0000413098,7.62067e-6,0.000198431,0.000279558,0.000324533,0.0000234589,0.000373856,0.0000193044,0.000243994,0.0000257694
0.0000340711,0.0000433247,7.65585e-6,0.000197264,0.000273996,0.000336047,0.0000224107,0.000385361,0.0000188135,0.000239826,0.0000260695
0.0000319346,0.0000412914,7.37121e-6,0.000198166,0.000269587,0.000325642,0.0000224749,0.00038897,0.0000179627,0.000251523,0.0000268156
0.0000344218,0.0000390476,7.11663e-6,0.000199671,0.000260626,0.000337363,0.0000218723,0.000374516,0.0000179889,0.000255859,0.0000276987
0.0000364971,0.0000376812,7.484e-6,0.000205258,0.000263182,0.000330827,0.0000224894,0.000373513,0.0000179816,0.0002538,0.0000264694
0.0000349783,0.0000384235,7.92271e-6,0.000210591,0.000261982,0.000343097,0.0000216161,0.000371621,0.0000176295,0.000251218,0.0000270834
0.0000339814,0.0000375024,8.11682e-6,0.000209861,0.000257633,0.000327895,0.0000218841,0.000391182,0.0000177614,0.000250348,0.0000265264
0.00003428,0.0000389387,7.69405e-6,0.000215262,0.00026085,0.000317497,0.0000217334,0.000390225,0.0000180608,0.000245814,0.00002605
0.0000373507,0.0000395693,7.85717e-6,0.000226082,0.0002615,0.00031544,0.0000205619,0.000378222,0.0000188315,0.000247135,0.0000245467
